job_titles,descriptions,companies,salaries
Planning Executive,"Heavy Maintenance Singapore Services (HMS Services), a joint venture between SIA
Engineering Company (SIAEC) and Airbus, leverages on the synergy of SIAEC’s extensive
maintenance experience and expertise, with Airbus’ depth of technical and engineering
knowledge as an airframe original equipment manufacturer. Airbus will develop the joint
venture as its Centre of Excellence for Airbus A380 and A350 Heavy Maintenance in Asia,
which will complement SIAEC’s extensive airframe service offerings in Singapore and the
Philippines.
As part of our growth plan, we are constantly looking out for talented, hardworking and
energetic individuals who thrive on challenges and enjoy working in a fast-paced and
dynamic environment. If you are looking for an exciting and fulfilling career, we are looking
for suitable individuals to join us for the position of:
PLANNING EXECUTIVE

Job description
 Evaluate customers’ aircraft check packages and determines man-hours & downtime required
 Prepare planned maintenance check package for all customers.
 Provide production planning & control support to Operational Lines to enable efficient execution
of checks till completion.
 Schedule aircraft checks to optimize usage of Company’s resources & facilities.
 Prepare & coordinate movement of spares, components and parts with other sections and
customers to meet aircraft delivery targets.
 Manage planning master data and ensures that :
 Maintenance plans for aircraft & components are created, maintained and updated;
 Maintenance plans meet the customer maintenance specifications & regulatory
requirements.
 Material requirements list and Tools & Equipment List in the Task Cards are created,
maintained and updated.
 Establish a set of KPIs to effectively manage his departmental operation in support of the
Company’s business.
Requirements
 A good Degree with at least 5 years of relevant experience and knowledge in passenger aircraft
heavy maintenance check planning. Candidates with a CAAS B1 or B2 Licence will have an
advantage.
 Self-starter with a customer mindset and excellent communication and interpersonal skills
 Independent, resourceful and able to work in a cross-functional environment and be a great team
player

If you are interested in the above position, please send in your resume to
HMS_Recruit@hmsservices.com",SIA Engineering,None
Sales Development Representative,"The Team

Our sales team works with a best-of-breed product that solves real problems for our customers. Sellers follow a well-defined methodology that helps them identify the customer's unique needs and clearly communicate the value of the Datadog product. Whether you're looking to learn from the best or be the best, the Datadog sales team is dedicated to furthering personal development and team success.

The Opportunity

We're building our first Sales Development Representative (SDR) team in Singapore! This is a ground floor opportunity to grow your career at a pre-IPO tech startup, and hit a new territory in Singapore. You'll be the first point of contact for Datadog prospects and will identify and qualify outbound opportunities for our Account Executives.

You Will


Achieve monthly, quarterly, and annual activity and opportunity quotas
Provide Account Executives with leads that can convert to qualified opportunities
Use multiple lead generation tools such as LinkedIn Sales Navigator, ZoomInfo, Salesforce
Generate 65 outbound calls & 30 emails daily
Develop and implement plans to acquire new business in your territory

Requirements


Strong written and verbal communication skills
Comfort speaking to senior and technical audiences
Sense of urgency and ability to multitask
Self-motivated, driven and eager to learn
Capable of influencing and persuading others
Ability to adapt to changing situations

Bonus Points


SaaS/cloud experience, Salesforce experience

Datadog is a monitoring service for hybrid cloud applications, assisting organizations in improving agility, increasing efficiency, and providing end-to-end visibility across the application and organization. These capabilities are provided on a SaaS-based data analytics platform that enables DevOps and other teams to accelerate go-to-market efforts, ensure application uptime, and successfully complete digital transformation initiatives.",Datadog,None
Senior MSBI Developer,"Job DescriptionPlanning, executing business analysis, development and deployment for BAU Regulatory Reporting Team.Understanding the operational process, Analysis and Documentation. Able to identify inefficiencies and opportunities to improve the processGood analytical and problem-solving abilities, with quick adaptation to new technologies, methodologies, and systemsAnalysis and coordinate with Singapore, Hong Kong, Seoul, Tokyo and Manila users for defect or any change request.Timely Risk and Issue identification on the project delivery.Regular status reporting to Project managementJob Requirements1. Based in Singapore and able to work closely with users from Singapore, Hong Kong, Manila, Seoul, Tokyo and Taipei.2. Strong experience and skill (at least 8-10 years) on MSBI – SSRS,SSIS,SSAS, XML, Data Warehousing, VSTF, T-SQL,SQL Server 2012. A strong emphasis on the use of enterprise data warehouse and reporting design patterns, standard based integration and data modeling methods.3. Able to develop Stored Procedures, Views, Indexes, Triggers, XML in SQL Server and Advanced knowledge of SQL.4. Must have good knowledge on Query Optimization concept and Performance Tuning.5. Proven hands on experience (at least 5-7 years) of ETL Package development and Cube Development with deployment strategies6. Experienced in relational and OLAP database design and implementation.7. Support, monitor, maintain, and troubleshoot the SQL server 2012 database jobs /applications.8. Skilled in data analysis, data validation and data integration.9. Must have excellent communication skillJob Type: ContractSalary: $6,000.00 to $8,000.00 /monthExperience:ETL: 6 years (Required)SQL: 8 years (Required)",Alphatech Business Solutions Pte Ltd,None
Lead Data Scientist,"Using data modelling, linear regression, statistical methods and proprietary data, your role is to discover trends, the “magic” behind dating, and provide understandings/estimates based on this data. Working closely with Product Manager, engineering team and our management team, you will be responsible for the creation and evolution of the tools and methods critical to producing quality and useful insights.

Responsibilities:

Lead the development and testing of hypotheses across all functional areas at Paktor
Play a key role as a member of the analytics team
Research and apply multidisciplinary techniques, findings and approaches to Paktor problems
Design, implement and analyse algorithms which substantially impact Paktor features
Participate in the development of prototypes and guide solutions into production
Serve as a primary person to consult on complex data science issues, contributing key ideas
Requirements:

Masters/PhD in computer science, stats or related field
At least 6 years of experience in core analytics
Experience with large scale algorithm challenges in the consumer Internet space
Knowledge of recommender systems
Comfort working within a modern engineering environment (System architecture, Java, MySQL, cloud programming)
Ability to script experimental solutions and use off-the-shelf statistical analysis tools
Obsession with data and system improvement, tempered with pragmatic ability to prioritise
Proven research background, in academic or industrial work, with an emphasis on delivering practical research that has a critical impact on multiple projects
Awareness of business objectives and ability to apply this understanding to recommend and implement product development for difficult and complex technical issues
Strong results driven personality, with a high level of enthusiasm, energy and confidence
Excellent analytical, communication and organisational skills
Ability to demonstrate flexibility and integrity: be able and willing to work hands on or independently",Paktor,None
Web Designer for Mobile Ads,"Remerge is a fast-growing mobile advertising scaleup that has become the no.1 app retargeting company over the last 4 years with offices spanning Berlin, San Francisco, New York, Singapore and Tokyo. Our mission is to help app developers maximize user engagement and in-app revenues by providing the world's most scalable and efficient app retargeting platform. Remerge enables app developers to re-engage up to 2 million users per second across 500,000 apps globally in order to increase retention and boost user lifetime value. Remerge works with the world's top grossing app developers from all major verticals such as Wish, AirBnb, Spotify, JollyChic and Grab.

We are proud of the product we’ve built and the impact it has on other people’s businesses and lives. We like to be surrounded by people who push for growth opportunities and are open to trying out something new. We love data, designing for the user and anything that helps drive intelligent decisions.

Job Responsibilities


You will support our in-house design team by creating outstanding static and dynamic mobile advertising visuals for our customers.
You will collaborate with Solution Engineer and Operation departments to ensure that the quality and performance of our dynamic banners is constantly improving.
You will proactively contribute and enhance our evolving processes and guidelines.
You will provide support, from a design perspective, in consultations with prospects and customers.
You have working knowledge of Web development languages and technologies: HTML5, CSS3.
You have knowledge of graphic design softwares like Adobe CC.
You have experience with GitHub as version control service.
You have excellent command of English and strong communication skills.
Good to have: Understanding of CSS pre-processing platforms, static website generators (ie: Jekyllrb) and concepts of liquid templating.
If there is a portfolio available, it would be great to submit it.

Our Promise


Direct Impact: accelerate your career in a fast-paced environment with a high degree of responsibility and independence.
Competitive Remuneration: enjoy a top package including virtual shares in a profitable company.
Flexible Schedule: benefit from open work-from-home arrangements and unlimited holidays.
Office Exchange: travel to and work from our offices around the world for short term assignments.
Team Events: celebrate achievements and enjoy our amazing annual offsites together with the global team.

Remerge is an Equal Opportunity Employer: All qualified applicants are considered for positions regardless of race, ethnic origin, gender, age, religion or belief, marital status, gender identification, sexual orientation, veteran status or disability. We're looking forward to your application!",Remerge,None
"Recruiter, Leadership","Minimum qualifications:
Bachelor's degree or equivalent practical experience.

15 years of recruiting experience working in a search firm or corporate environment.

Preferred qualifications:
Ability to recruit candidates in the technology industry and engage with candidates and stakeholders.

Ability to learn about new markets quickly and run a thorough and high-quality search process, including leadership candidate research, outreach, engagement, evaluation, and presentation.

Ability to independently run and drive the search strategy.

Ability to prioritize effectively based on key market insights.

Excellent consultative skills and domain expertise, with the ability to build productive partnerships with internal leaders.
About the job
Google's known for our innovative technologies, products and services -- and for the people behind them. As part of our recruiting team, you're charged with finding the most interesting candidates who bring an entrepreneurial spirit and a diversity of thought to all they do. You're responsible for guiding candidates through our hiring process and connecting them to the magic of working at Google. You are creative and driven, which allows you to develop lasting relationships with both candidates and hiring managers. You're also comfortable with numbers and drawing insights from analytics to make our hiring process smarter and more efficient.

As a Recruiter, you'll be responsible for advising clients on their leadership and talent requirements and placing external and internal candidates into roles within the client organization. You will engage new talent for Google opportunities, manage the client and candidate throughout the process, assess and evaluate talent for roles in Google, and lead candidate discussions through to close.
Great just isn't good enough for our People Operations team (you probably know us better as ""Human Resources'). Made up of equal parts HR professionals, former consultants and analysts, we're the champions of Google's colorful culture. In People Ops, we ""find them, grow them, and keep them"" - we bring the world's most innovative people to Google and provide the programs that help them thrive. Whether recruiting the next great Googler, refining our core programs, developing talent or simply looking for ways to inject some more fun into the lives of our Googlers, we bring a data-driven approach that is reinventing the human resources field. Responsibilities

Partner with management on high-profile leadership requisitions and assist them in determining and fulfilling their talent needs.

Create and execute leadership search strategies across a variety of product areas and functions.

Identify, evaluate, and present leadership talent to management across Google.

Build relationships with leadership talent in the marketplace. Source passive candidates through research, internal and external networking, and direct outreach.

Leverage strategic thinking, influencing, and coaching skills in order to run a successful search process and help hire talent.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .",Google,None
Electronic Trading Operations Representative - Singapore,"Who we are:
In global markets, buy-side and sell-side professionals strive to achieve the best execution across multiple asset classes. Our Electronic Trading Operations (ETO) team is responsible for ensuring the implementation, stability, and reliability of those offerings.

We implement new connections and detect, analyze, and resolve issues impacting applications and connectivity with clients, vendors, exchanges, brokers, and ATS venues. We ensure seamless performance with our Electronic Trading platforms through interaction with Bloomberg Product areas, Network Operations, Engineering, and Bloomberg's clients. We are ambitious and set ourselves tough business goals. We are a meritocracy, where everyone has a voice - not a job title. Working with people you trust, respect, and can collaborate with is more important than titles or position.

Bloomberg is so much more than the products and services we deliver to our customers. We use data and analytics to organize, understand and improve our world. We give back - through the vast majority of our profits going to Bloomberg Philanthropies and through our countless volunteer projects. We bring out the best in the communities around us too. You can do amazing work here. Work you couldn't do anywhere else.

Who you are:
You come to work with a purpose. You work fast and hard, understand what urgency means to a trader, are curious and take pride in being customer service driven. You love being part of a team where clients count on you every day, and you challenge and support your colleagues to innovate, learn and deliver the best service possible.

What's the role?

As an Electronic Trading Operations Representative, you're essential in minimizing impact and mitigating financial risk for our clients across their electronic trading solutions. They'll depend on you to ensure a smooth transition process post sale through to solution go-live.

You'll be a key part of our team at the frontline providing specialized technical support and responsible for implementing new electronic trading connections for Bloomberg's clients.

We'll trust you to:
Analyze and troubleshoot issues related to our Electronic Trading products in a production environment

Build and certify new connections, configure applications for these connections, and complete post-production testing

Handle client communication using language appropriate for non-technical users

Prevent production incidents and outages by partnering with Engineering and Product teams to design and implement future system and Product changes

Examine root cause statistics for trends in production issues

Design improvements to existing and new Configuration, Monitoring, and Troubleshooting Support tools

Help prioritize and be responsible for the Product backlog

Conduct capacity planning by analyzing client flows and trading statistics

Help develop metrics for internal consumption and trading system benchmarking

Help design and document trading system recovery procedures

Provide client feedback to the Product team collated through the certification process

Work closely with our clients and our internal Product, Tradedesk, and Engineering groups to facilitate expectations, influence and expedite implementation and resolution of issues

You'll need to have:
4-7+ years working experience in similar application support roles

The ability to support customers effectively in English

A technical curiosity with a passion for customer service and a genuine interest in financial markets

Experience in UNIX and Linux operating systems and commands, troubleshooting LAN / WAN, and in Middleware connectivity (TCP/IP, MQ, UDP)

Exposure to scripting languages, such as Perl, Bash, Korn, and/or Python

Knowledge of Message Protocols; FIX would be a nice to have

Proven history of solving complex problems with a keen eye for detail

A willingness to learn and apply knowledge

Superb communication and client facing skills

An ability to handle your time effectively and multi-task in a fast paced environment

Good project management skills for executing customer driven short term projects and implementation requests

Ability to remain calm working with urgency, multi-task, be a team-player, be client focused, and to adapt in a dynamic changing environment

We'd love to see:
A Computer Science or Technology related degree

Good working product knowledge of Equity, Options, Futures, Fixed Income and FX market workflows and any exposure to Broker/Dealers, Hedge Funds and Regulatory Reporting requirements

The ability to support customers effectively in Mandarin

Experience with SQL or transactional databases and operating large structured and un-structured datasets (such as indexed data and delimited complex system logs)

If this sounds like you:
Apply if you think we're a good match. We'll get in touch to let you know what the next steps are, but in the meantime feel free to have a look at this: https://www.bloomberg.com/company/ .

Bloomberg is an equal opportunities employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Bloomberg,None
Data Scientist (Transport/Logistics/Food),"Get to know the role:
Conceptualise and develop machine learning models to model Grab’s driver and passenger movements, preferences, behaviour and interactions
Develop and implement optimization algorithms to solve vehicle dispatch, routing and pooling problems
Build complex and detailed simulations from ground up to dynamically model Grab’s operations, driver and passenger movements, attributes and interactions
Drive product improvements and roll-out of new features
The day-to-day activities:
Deep dive into big data to conduct advanced statistical analyses
Design and build machine learning and optimisation algorithms efficiently
Integrate, simulate and test impact of algorithms and features on the overall system
Develop and execute necessary analyses, simulations or A/B tests to validate models and identify improvement opportunities
Store, retrieve and visualise results in a manner that facilitates required analyses
Effectively conceptualize analyses to business/product stakeholders
The must haves:
Minimum 2 years of relevant experience in one or more of the following:
Developing machine learning models for behaviour, preference or demand modelling
Developing optimization algorithms to solve large-scale network flow/ combinatorial/ stochastic problems
Developing large-scale complex discrete-event/agent-based simulation models
Ph.D. or Master’s in Computer Science, Electrical/Computer Engineering, Industrial & Systems Engineering, Operations Research, Mathematics/Statistics, or related technical disciplines
Strong fundamentals in one of the following: ML, optimisation or simulation, with background in the other areas
Proficient in statistical programming in languages such as Python and R; and strong working knowledge in RDBMS such as PostgresQL or MySQL
Excellent software development capabilities, preferably in C++, Java or Python; knowledge of GoLang would be an advantage
Self-motivated and independent learner who is willing to share knowledge with the team
Efficient and detail oriented time manager who thrives in a dynamic and fast-paced working environment
Really good to haves:
Experience in working with mobility, delivery or food data and use cases
Experience in parallel programming and multithreading",Grab Taxi,None
"Talent Attraction Advisor - Strategic Sourcing, Market Intelligence, & Agency Management","Talent Attration Advisor - Strategic Sourcing, Market Intelligence, & Agency Management
Job Purpose:
Aramco Asia Singapore, is seeking to hire a HR professional with talent sourcing and attraction experience. As a talent attraction advisor in the Aramco Asia Talent Acquisition (ATA) Unit, the incumbent will be responsible for the design, development, and execution of integrated sourcing strategies to attract candidates from APAC to effectively meet the manpower needs of parent company, Saudi Aramco’s Business and Service Lines to support their operations in Saudi Arabia. The talent attraction advisor will perform a full range of highly skilled advisory, analytical and/or complex tasks in the area of talent attraction and sourcing.


Responsibilities:
Advise Saudi Aramco hiring managers and Saudi Aramco’s Expatriate Employment Division (EED) on matters related to Talent Attraction and Sourcing.
Develop manpower availability and talent mapping studies within APAC.
Develop talent market intelligence and trends in recruitment to regularly share with EED.
Develop and implement, in collaboration with recruiters, an effective sourcing and attraction strategy by analyzing market data including talent availability, trends and competitor data.
Perform special projects, long-range studies, policy reviews and related activities, which are highly professional in nature and may involve several different ATA functions.
Collect and analyze information relevant to assigned area. Research the design, impact, and implementation required for changes or additions to sourcing activities; Develop sound professional recommendations based on findings.
Assist with managing the cost per hire by sourcing directly via social media and other internal and external channels e.g. LinkedIn, Job Boards.
Work with Contracting Unit to review and develop/procure service providers’ contracts; as well as, monitor and evaluate the service providers’ performance.
Address issues related to vendor invoices.
Resolve problems related to assigned area under supervision.
Perform other miscellaneous related duties as requested by the manager.


Requirements:
Bachelor’s degree or relevant in Human Resources Management, Business Administration, Personnel Administration or related field.
Ten (10) years diversified experience in HR Field with minimum of six (6) years specializing in recruiting, staffing and talent acquisition.
Experience with Oil & Gas (Upstream/Downstream) or Energy related jobs is highly desired.
Ability to apply a variety of sourcing techniques (direct sourcing, building PSL, recruitment advertising, web tools, etc.).
A strong awareness of brand management and the employee value proposition.
Ability to perform statistical and problem analyses while working under time constraints.
Ability to communicate effectively in English, both orally and in writing.
Customer focused, with strong human relations skills and the ability of understanding of Saudi Arab culture.
Ability to maintain confidentiality and to tactfully handle sensitive issues.
Ability to manage multiple agendas for competing demands at any one time.
Ability to work towards agreed targets with minimal supervision.",Aramco,None
Junior Data Platform Engineer,"Company Profile

Silot is a Fintech company headquartered in Singapore, with an R&D center in Beijing, China. We are re-defining the future landscape of Fintech industry by connecting data and function silos, which empowers financial institutions for next-generation efficiency and capabilities, with the immersion and injection of AI.

Our mission is to connect and empower financial institutions, global merchant businesses and everyone through building a fast and scalable AI strategy. We love creating new technologies from existing blocks such as KYC, Underwriting, and Anti-fraud. We truly believe that by building products that serve the intersection between technology and humanity would greatly enable the world to be more connected and inclusive.


Hiring Position: Junior Data Platform Engineer - Singapore | Beijing

Responsibilities:

Build, monitor, and maintain data ETL pipelines;
Data cleaning and data mining for financial technology related models, algorithms and strategies;
Coordinate with data scientists to convert the Logical models in to Physical models;
Stay up-to-date with advances in data persistence and big data technologies and run pilots to design the data architecture.
Skills & Qualifications:

Experience with AWS Redshift or other data stores;
Experience with ETL processes;
Experience with Big Data solutions: Hadoop, Spark, Databricks, Pig/Hive or other frameworks;
Knowledge of Python;
Exceptional troubleshooting and problem-solving abilities;
Excellent written and verbal communications skills;
Demonstrated ability to work effectively across various internal organizations;
Bachelor’s degree in Computer Science Engineering or related technical field.",Silot Pte. Ltd.,None
4. Management Trainee,"Responsibilities:

Work closely with key staff/head of the department to understand the different functions within the company
Carry out internal process review, Audits, and Assessments on every department
Explore avenues for organizational growth and expansion
Learn various staff functions, including operations, management viewpoints and company policies and practices affecting each phase of business
Report on progress of goals and objectives
Monitor performance progress with management and key trainers
Observe experienced workers to acquire knowledge of methods, procedures, and standards required for performance of departmental duties
Train in functions and operations of related departments to facilitate subsequent transferability between departments and provide greater promotional opportunities
Provide support as needed in the various departments, including reporting, data-entry, presentation creation, strategic planning, customer service as needed
Use company reports to analyze sales, gross profit, and inventory activity.
Report market activity to management by monitoring and analyzing competitive price lists and products.
Work with and through management to develop and implement actions that protect company assets and profitability.


Requirements:

Degree, preferably business/technical discipline
Versatile team player with strong-discipline and project management skills
Strong written, verbal, and presentation skills
Large capacity for learning and embracing challenges
Highly process driven and able to deliver work with timeliness and quality
Interested candidates, please email your resume to inventory@arkvision.com.sg

https://jobscentral.com.sg/job/management-trainee-jht5rl6rfq3tykntq25",Ark Vision Spare & Engineering Pte Ltd,None
Staff Data Scientist,"The Analytics Business Solutions team from Operations & Technology Advanced Analytics Group is seeking a talented Staff Data Scientist in Singapore for a high profile initiative helping our internal customers turn the data they have into the information they need to develop and deliver industry-leading storage solutions.

A key function of this role is to facilitate the advancements of modern analytical techniques across the organizations. The Staff Data Scientist will be an evangelist and an assessor promoting new ways of diving into complex issues while assessing current practices and identifying areas where training or knowledge would help.

Responsibilities:
Work with business unit subject matter experts to identify, prioritize and answer important business questions through the development of innovative algorithms and visualizations using modern analytical techniques in Data Mining, Machine Learning and Statistics
Execute Industry 4.0 and Prognostics and Health Management projects for Seagate's APAC Operations stakeholders
Additional focus: Execute data science and analytics projects in the area of Deep Learning
Leverage and/or develop innovative data mining and machine learning methods to solve novel and diverse business problems
Quantify the effectiveness and value of innovations with subject matter experts
Provide technical advice and coaching to the junior analytics staff.
Qualifications:
Highly proficient in Python, C/C++, SQL, and R
Solid technical knowledge in machine learning, deep learning, statistical algorithms, data mining, and data structures.
Working experience: Industrial IoT Sensing & Devices, Predictive Maintenance, Prognostics & Health Management, and other Industry 4.0 areas. Knowledge in Time-series analysis.
Hands-on knowledge in web crawling, natural language processing, visualization, and dashboard creation
Knowledge in Hadoop, Spark. Ability to deploy data science solutions in cloud analytics infrastructure.
Demonstrate Leadership skills – Ability to lead a team, mentor junior staff and close out technical projects
Strong oral and written communication skills. Strong business mindset, ability to condense complex analysis and technical concepts into clear and concise takeaways for business leaders.
Self-starter. Ability to drive initiatives and influence. Ability to work alone as well as in a team environment.
A collaborative attitude and a global mindset with an ability to work well with native and non-native English speakers
Able to travel ~15%, including international
Able to participate in conference calls outside of regular local work hours
Preferred Qualifications
Thesis or research experience in topics related to predictive analytics such as data mining, pattern recognition, image processing, data-driven prognostics, fault diagnostics, time-series analysis, natural language processing, artificial intelligence, and machine learning.
Job Family: Engineering Professional",Seagate Technology,None
Product Manager,"ABOUT TAIGER

Headquartered in Singapore, TAIGER is a fast-growing Artificial Intelligence (AI) company with a global footprint. Our mission is to help organizations optimize operational efficiencies by automating complex cognitive tasks. We are a market leader and the pioneer of Knowledge Work AutomationTM. The solutions we provide use natural language processing (NLP) and computer vision techniques (e.g. semantic analysis, concept-extraction, multi-language knowledge graphs, and object detection) to provide unparalleled accuracy in information extraction for industry leaders across the financial services, government sectors and more. TAIGER is recognized as a Gartner Cool Vendor. Find out more about us at www.taiger.com and www.linkedin.com/company/taiger

PRODUCT MANAGER

We are building a team passionate about cutting-edge AI technology and the potential of TAIGER. You should be motivated by growth opportunities with your responsibilities expanding in scope. You can also look forward to be part of a dynamic start-up environment where your contribution matters.

RESPONSIBILITIES

Work closely with internal and external customers, sales and engineering teams to oversee delivery of product requirements in-line with stakeholder needs, technical capabilities and with alignment to success metrics.
Drive modern forms of product planning, customer discovery, product discovery, and product development process, as well as ensure successful execution and implementation of product roadmaps.
Assist in the execution of TAIGER’s product strategy, working closely with Director, Product to develop a clear product roadmap with realistic milestones and measurable outcomes.
Ensure that TAIGER’s products remain competitive, relevant and innovative in the market by comparing existing solutions against relevant products to gather a strong understanding of latest products trends and the Artificial Intelligence domain.
Create internal product functions for TAIGER, ensuring that resource capabilities, and technical limitations are optimized to achieve company product vision.
Develop external opportunities, and ensure that sales decisions are supported with internal technical documentations, data-analytics and product collaterals to enable data-driven decision making.
REQUIREMENTS

BSc or MSc in Computer Science, Engineering, Business or related disciplines.
3+ years of experience in Product Management for technology / software products or Artificial Intelligence domain-related product experience.
Demonstrated understanding and interest in the Artificial Intelligence industry and driving innovation aligned with technology trends and customer needs.
Prior working experience developing product functions within large-scale technology, financial or government organizations, converting strategic product plans to measurable go-to-market outcomes.
Expertise in translating customer needs into user stories through qualitative needs analysis user research methods and research analysis creating, conducting, and analysing usability evaluations.
Proven track record in stakeholder management with excellence written and oral command of English.
YOU WILL BE AT AN ADVANTAGE WITH THESE SKILLS

You have strong problem-solving skills and possess a high degree of creativity and resourcefulness.
You have a track record of successfully delivering quality, on-time results.
You are a strong communicator with ability to deliver clear and impactful messages.
You possess effective time management and networking skills.
You demonstrate excellent organizational, analytical and strategic skills.

In TAIGER we believe that diversity of experience, perspectives, and background will result in a better workplace for our team and a better product for our clients. Join the growing team at TAIGER today!

TAIGER does not engage any recruitment agencies for recruitment of talents into our company. All job applications should be submitted directly to TAIGER.",Taiger,None
CX Strategy & Operations Senior Analyst,"Company Overview
Style Theory is a Fashion-Technology company that is redefining Fashion Consumption. We believe that there is an inefficiency in the way we consume fashion in today's world, and are on a mission to provide a smarter solution.
We are currently Southeast Asia's largest and fastest growing Fashion Rental startup. Our core product is Fashion Rental Subscription using a ""Netflix-for-Fashion"" model, the first and only of its kind in the region. Today, we are focused on building more products to improve Fashion Consumption and driving these solutions across the region.
Job Summary
Every company exists because of its customers and for the benefits of its customers.
At Style Theory, we've built a culture around our customers, and you'll be the driving force of this culture. As a Senior Customer Experience Analyst, you will be working directly with top management to understand customer journey from activation to onboarding, and retention. You will at the forefront of unearthing and analysing data about our customers and providing recommendations that could drive direct business impacts: increased retention, revenue per customer, virality, and overall customer experience. You will also be working closely with our Product team to see these recommendations through from ideation to launch and reiteration.
Responsibilities:
Your work will be project-oriented, since you will get the opportunity to own analytical projects, starting from understanding stakeholder needs and problem definition, to the analysis and interpretation of results as well as communicating the findings to leadership
You will have dotted-line report across Operations & Logistics, Growth, and Merchandising and work across business functions to find gaps in the customer journey and devise plans to improve it
You own a pipeline of continuous improvement and operation excellence ideas and work directly with product managers and engineers to push through an idea to launch and reiteration
You have a strong grasp on the business, especially in terms of customer satisfaction, customer lifetime value, cohort retention trend, and virality and are able to connect ideas to business bottom line
Self-manage delivery of analytical projects
Defining the business problem
Determining the analytical approach
Efficiently extract relevant data
Appropriately use statistical and data analysis techniques
Sharing your findings using impactful data visualizations and efficient communication
Balance multiple priorities, updating stakeholders on progress and expected delivery
Encourage and train department members in best practice use of Agoda data, analysis techniques and interpretation
Qualifications and Skills:
Bachelor's degree in computer sciences, engineering, mathematics, statistics, data science or a related degree program with outstanding academic results
0-3 years work experience (Senior: 4+ years of relevant experience, preferably working with large datasets and experimentation)
SQL proficiency required: can extract data from large databases using SQL to develop data queries
Excellent problem solving skills including the ability to analyze and resolve complex problems
Expert Excel user: able to understand and build complex spreadsheets
Strong business sense
Excellent communication and comprehension skills: confident communicating with people of differing levels of seniority, analytical understanding and from a wide variety of backgrounds
Organized and structured: can manage multiple, competing priorities and deliver results under tight deadlines and pressure
Fluent in English both spoken and written – additional languages are a plus",StyleTheory,None
Transaction&Portfolio Senior Specialist,"This position is responsible for working with the real estate portfolio lead for MSD in Asia Pacific, which consists of multiple locations including administrative, warehousing and distribution, manufacturing and sales office properties.

As the company continues its drive to portfolio optimization, this individual will be responsible for analyzing real estate data to help assess opportunities across the real estate footprint to optimize cost and efficiency in alignment with current and future business requirements. Responsibilities also include assisting in management of the programs relating to real estate acquisition, disposition, and relocation. He/She will also assist in developing strategies and supporting models for complex real estate strategies. Additional responsibilities include qualitatively and quantitatively evaluating scenario alternatives and perform research required to support business cases.

Job Responsibilities

Responsibility for managing all commercial offices within the South East Asia region from a transactions position. This will include site assessment and review, leading to renewal, dispositions and relocations.
Responsible for oversight of the Company’s real estate portfolio administration system, checking lease expiries and other lease events
Provide data analysis on our real estate portfolio, including financial analysis, occupancy analysis and scenario planning
Quarterly reporting on performance on real estate portfolio against plan
Quarterly reporting on real estate annual and multi-year plan
Tracking the global KPI’s and standards for cost reduction, space utilization, data accuracy, etc. Organize and report on those KPI’s as well as transaction and project activity and financial performance including progress on cost reduction initiatives and value adds.
Working with our regional 3rd party provider (JLL) in the development and execution of the real estate strategy together with traditional CRE work, reporting to the Real Estate Lead.
Review new issues of regulatory/agency guidelines/requirements to determine effect on Acquisition Guidelines; processes and needed updates to Section guidelines; ensures staff work efforts comply with regulatory/agency guidelines requirements.
Assist in monitoring timetables, schedules and costs while coordinating with other functions, suppliers and contractors to ensure real estate activities are completed within the schedule deadlines.
Performs other assignments as required

Qualifications

Education

To be successful to the role, ideally you will need to have a Bachelors Degree Real Estate or related Discipline)
A Minimum of 5 years Post Qualification experience in Real Estate, Engineering, Finance and/or Procurement with technical site experience preferred

Skills and Experience

Sound analytical depth as well as strong technical skills in real estate management, occupancy planning, transaction management, lease administration
Ability to read, analyse, and interpret real estate leases and other real estate related contracts
Ability to define problems, analyse data, establish facts, and draw valid conclusions.
Excellent communication and presentation capabilities. Problem-solving, analytical thinking and the ability to balance multiple tasks simultaneously are essential.
Good organizational and interpersonal skills. Attention to detail and mental concentration are necessary for accurately performing tasks and tolerating frequent interruptions.
Ability to establish and maintain effective working relationships with diverse groups of people.
Team player with the ability to work with remote and 3rd party teams to drive results

Search Firm Representatives, Please Read Carefully:

MSD is not accepting unsolicited assistance from search firms for this employment opportunity. Please, no phone calls or emails. All resumes submitted by search firms to any employee at MSD via email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of MSD. No fee will be paid in the event the candidate is hired by MSD as a result of the referral or through other means.


Job: Real Estate/Property Mgmnt
Primary Location: APAC-SG-Singapore-Singapore
Employee Status: Regular
Number of Openings: 1
Company Trade Name:MSD",MSD,None
